EVENT,URL,DATE,LOCATION
UFC Fight Night: Smith vs. Teixeira,http://ufcstats.com/event-details/5f8e00c27b7e7410,2020-05-13,"Jacksonville, Florida, USA"
UFC 249: Ferguson vs. Gaethje,http://ufcstats.com/event-details/898337ef520fe4d3,2020-05-09,"Jacksonville, Florida, USA"
UFC Fight Night: Lee vs. Oliveira,http://ufcstats.com/event-details/53278852bcd91e11,2020-03-14,"Brasilia, Distrito Federal, Brazil"
UFC 248: Adesanya vs. Romero,http://ufcstats.com/event-details/0b5b6876c2a4723f,2020-03-07,"Las Vegas, Nevada, USA"
UFC Fight Night: Benavidez vs. Figueiredo,http://ufcstats.com/event-details/fc9a9559a05f2704,2020-02-29,"Norfolk, Virginia, USA"
UFC Fight Night: Felder vs. Hooker,http://ufcstats.com/event-details/33b2f68ef95252e0,2020-02-22,"Auckland, New Zealand"
UFC Fight Night: Anderson vs. Blachowicz,http://ufcstats.com/event-details/5df17b3620145578,2020-02-15,"Rio Rancho, New Mexico, USA"
UFC 247: Jones vs. Reyes,http://ufcstats.com/event-details/b26d3e3746fb4024,2020-02-08,"Houston, Texas, USA"
UFC Fight Night: Blaydes vs. Dos Santos,http://ufcstats.com/event-details/44aa652b181bcf68,2020-01-25,"Raleigh, North Carolina, USA"
UFC 246: McGregor vs. Cowboy,http://ufcstats.com/event-details/0c1773639c795466,2020-01-18,"Las Vegas, Nevada, USA"
UFC Fight Night: Edgar vs. The Korean Zombie,http://ufcstats.com/event-details/74fefd43f073cd2f,2019-12-21,"Busan, South Korea"
UFC 245: Usman vs. Covington,http://ufcstats.com/event-details/4565d435005319c0,2019-12-14,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Rozenstruik,http://ufcstats.com/event-details/b09890ba7ce1d1e2,2019-12-07,"Washington, DC, USA"
UFC Fight Night: Blachowicz vs. Jacare,http://ufcstats.com/event-details/81ca2c245b19b3c5,2019-11-16,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Zabit vs. Kattar,http://ufcstats.com/event-details/8d5daf67983b65ba,2019-11-09,"Moscow, Moscow, Russia"
UFC 244: Masvidal vs. Diaz,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,2019-11-02,"New York City, New York, USA"
UFC Fight Night: Maia vs. Askren,http://ufcstats.com/event-details/df05aa15b2d66f57,2019-10-26,"Kallang, Singapore"
UFC Fight Night: Reyes vs. Weidman,http://ufcstats.com/event-details/3ae10ac4df3df05c,2019-10-18,"Boston, Massachusetts, USA"
UFC Fight Night: Joanna vs. Waterson,http://ufcstats.com/event-details/0941df56f6ac954b,2019-10-12,"Tampa, Florida, USA"
UFC 243: Whittaker vs. Adesanya,http://ufcstats.com/event-details/3cf68c1d17f66af7,2019-10-05,"Melbourne, Victoria, Australia"
UFC Fight Night: Hermansson vs. Cannonier,http://ufcstats.com/event-details/1bf49bf829964144,2019-09-28,"Copenhagen, Denmark"
UFC Fight Night: Rodriguez vs. Stephens,http://ufcstats.com/event-details/94a5aaf573f780ad,2019-09-21,"Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Cowboy vs. Gaethje,http://ufcstats.com/event-details/4834ff149dc9542a,2019-09-14,"Vancouver, British Columbia, Canada"
UFC 242: Khabib vs. Poirier,http://ufcstats.com/event-details/a79bfbc01b2264d6,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Andrade vs. Zhang,http://ufcstats.com/event-details/2c104b7e59a72629,2019-08-31,"Shenzhen, Guangdong, China"
UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,2019-08-17,"Anaheim, California, USA"
UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,2019-08-10,"Montevideo, Uruguay"
UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,2019-08-03,"Newark, New Jersey, USA"
UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,2019-07-27,"Edmonton, Alberta, Canada"
UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,2019-07-20,"San Antonio, Texas, USA"
UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,2019-07-13,"Sacramento, California, USA"
UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,2019-07-06,"Las Vegas, Nevada, USA"
UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,2019-06-29,"Minneapolis, Minnesota, USA"
UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,2019-06-22,"Greenville, South Carolina, USA"
UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,2019-06-08,"Chicago, Illinois, USA"
UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,2019-06-01,"Stockholm, Sweden"
UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,2019-05-18,"Rochester, New York, USA"
UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Iaquinta vs. Cowboy,http://ufcstats.com/event-details/351264d11286d09a,2019-05-04,"Ottawa, Ontario, Canada"
UFC Fight Night: Jacare vs. Hermansson,http://ufcstats.com/event-details/c912f676692c353a,2019-04-27,"Sunrise, Florida, USA"
UFC Fight Night: Overeem vs. Oleinik,http://ufcstats.com/event-details/7dcf06c1967801c1,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia"
UFC 236: Holloway vs. Poirier 2,http://ufcstats.com/event-details/b0550072e5f0afa7,2019-04-13,"Atlanta, Georgia, USA"
UFC Fight Night: Barboza vs. Gaethje,http://ufcstats.com/event-details/9649d75defe0dedb,2019-03-30,"Philadelphia, Pennsylvania, USA"
UFC Fight Night: Thompson vs. Pettis,http://ufcstats.com/event-details/487c170da059857d,2019-03-23,"Nashville, Tennessee, USA"
UFC Fight Night: Till vs. Masvidal,http://ufcstats.com/event-details/80eacd4da0617c57,2019-03-16,"London, England, United Kingdom"
UFC Fight Night: Lewis vs. Dos Santos,http://ufcstats.com/event-details/e96d8538d3f9d0ed,2019-03-09,"Wichita, Kansas, USA"
UFC 235: Jones vs. Smith,http://ufcstats.com/event-details/2d5fbe2103f97053,2019-03-02,"Las Vegas, Nevada, USA"
UFC Fight Night: Blachowicz vs. Santos,http://ufcstats.com/event-details/6546af7ab545b90c,2019-02-23,"Prague, Czech Republic"
UFC Fight Night: Ngannou vs. Velasquez,http://ufcstats.com/event-details/a7a79b8efbceaaac,2019-02-17,"Phoenix, Arizona, USA"
UFC 234: Adesanya vs. Silva,http://ufcstats.com/event-details/b5882371e2a3900d,2019-02-09,"Melbourne, Victoria, Australia"
UFC Fight Night: Assuncao vs. Moraes 2,http://ufcstats.com/event-details/84283233ec42be5f,2019-02-02,"Fortaleza, Ceara, Brazil"
UFC Fight Night: Cejudo vs. Dillashaw,http://ufcstats.com/event-details/d4da8995fc91e7ef,2019-01-19,"Brooklyn, New York, USA"
UFC 232: Jones vs. Gustafsson 2,http://ufcstats.com/event-details/c046100aea0dba9a,2018-12-29,"Los Angeles, California, USA"
UFC Fight Night: Lee vs. Iaquinta,http://ufcstats.com/event-details/7a703c565ccaa18f,2018-12-15,"Milwaukee, Wisconsin, USA"
UFC 231: Holloway vs. Ortega,http://ufcstats.com/event-details/2a74bbba57058f12,2018-12-08,"Toronto, Ontario, Canada"
UFC Fight Night: Dos Santos vs. Tuivasa,http://ufcstats.com/event-details/d1d20e651e6cbc02,2018-12-01,"Adelaide, South Australia, Australia"
The Ultimate Fighter: Heavy Hitters Finale,http://ufcstats.com/event-details/c7ac79839e86ce33,2018-11-30,"Las Vegas, Nevada, USA"
UFC Fight Night: Blaydes vs. Ngannou 2,http://ufcstats.com/event-details/de25520d54eab12d,2018-11-24,"Beijing, China"
UFC Fight Night: Magny vs. Ponzinibbio,http://ufcstats.com/event-details/aa3153a9941b4d44,2018-11-17,"Buenos Aires, Buenos Aires, Argentina"
UFC Fight Night: Korean Zombie vs. Rodriguez,http://ufcstats.com/event-details/42c96a9c4802e2e1,2018-11-10,"Denver, Colorado, USA"
UFC 230: Cormier vs. Lewis,http://ufcstats.com/event-details/20821819c401ced8,2018-11-03,"New York City, New York, USA"
UFC Fight Night: Oezdemir vs. Smith,http://ufcstats.com/event-details/33a331684283900f,2018-10-27,"Moncton, New Brunswick, Canada"
UFC 229: Khabib vs. McGregor,http://ufcstats.com/event-details/1ef0eae31904e534,2018-10-06,"Las Vegas, Nevada, USA"
UFC Fight Night: Marreta vs. Anders,http://ufcstats.com/event-details/852454c572675334,2018-09-22,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Hunt vs. Oleinik,http://ufcstats.com/event-details/8d49545dadf9b919,2018-09-15,"Moscow, Moscow, Russia"
UFC 228: Woodley vs. Till,http://ufcstats.com/event-details/d5ae8074631762fc,2018-09-08,"Dallas, Texas, USA"
UFC Fight Night: Gaethje vs. Vick,http://ufcstats.com/event-details/c0342805a1948cbb,2018-08-25,"Lincoln, Nebraska, USA"
UFC 227: Dillashaw vs. Garbrandt 2,http://ufcstats.com/event-details/03b1e846b09f721d,2018-08-04,"Los Angeles, California, USA"
UFC Fight Night: Alvarez vs. Poirier 2,http://ufcstats.com/event-details/322a56923b396b4d,2018-07-28,"Calgary, Alberta, Canada"
UFC Fight Night: Shogun vs. Smith,http://ufcstats.com/event-details/4f732e58ed907eff,2018-07-22,"Hamburg, Hamburg, Germany"
UFC Fight Night: Dos Santos vs. Ivanov,http://ufcstats.com/event-details/b45d6b73f4ca4467,2018-07-14,"Boise, Idaho, USA"
UFC 226: Miocic vs. Cormier,http://ufcstats.com/event-details/35585d970300d45a,2018-07-07,"Las Vegas, Nevada, USA"
The Ultimate Fighter: Undefeated Finale,http://ufcstats.com/event-details/8215e4fe24e8e81b,2018-07-06,"Las Vegas, Nevada, USA"
UFC Fight Night: Cowboy vs. Edwards,http://ufcstats.com/event-details/ac5f67109accb482,2018-06-23,"Kallang, Singapore"
UFC 225: Whittaker vs. Romero 2,http://ufcstats.com/event-details/2eae41f61776c60f,2018-06-09,"Chicago, Illinois, USA"
UFC Fight Night: Rivera vs. Moraes,http://ufcstats.com/event-details/d29b5c4f22c6357d,2018-06-01,"Utica, New York, USA"
UFC Fight Night: Thompson vs. Till,http://ufcstats.com/event-details/f5990c11974d8e9c,2018-05-27,"Liverpool, England, United Kingdom"
UFC Fight Night: Maia vs. Usman,http://ufcstats.com/event-details/3144121470023e9a,2018-05-19,"Santiago, Chile"
UFC 224: Nunes vs. Pennington,http://ufcstats.com/event-details/67ec58d7cf599835,2018-05-12,"Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Barboza vs. Lee,http://ufcstats.com/event-details/ad99fa5325519169,2018-04-21,"Atlantic City, New Jersey, USA"
UFC Fight Night: Poirier vs. Gaethje,http://ufcstats.com/event-details/620be7e0712d431b,2018-04-14,"Glendale, Arizona, USA"
UFC 223: Khabib vs. Iaquinta,http://ufcstats.com/event-details/49e7e05f902479ca,2018-04-07,"Brooklyn, New York, USA"
UFC Fight Night: Werdum vs. Volkov,http://ufcstats.com/event-details/eed2b71d77d95416,2018-03-17,"London, England, United Kingdom"
UFC 222: Cyborg vs. Kunitskaya,http://ufcstats.com/event-details/7929be8290289a47,2018-03-03,"Las Vegas, Nevada, USA"
UFC Fight Night: Emmett vs. Stephens,http://ufcstats.com/event-details/daa89f01e1c0f42a,2018-02-24,"Orlando, Florida, USA"
UFC Fight Night: Cerrone vs. Medeiros,http://ufcstats.com/event-details/d181689653115b6a,2018-02-18,"Austin, Texas, USA"
UFC 221: Romero vs. Rockhold,http://ufcstats.com/event-details/15515e797aedc137,2018-02-10,"Perth, Western Australia, Australia"
UFC Fight Night: Machida vs. Anders,http://ufcstats.com/event-details/7cf20446453f852b,2018-02-03,"Belem, Para, Brazil"
UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/event-details/602bb270f2bdbf02,2018-01-27,"Charlotte, North Carolina, USA"
UFC 220: Miocic vs. Ngannou,http://ufcstats.com/event-details/02177caefe7c07d4,2018-01-20,"Boston, Massachusetts, USA"
UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/event-details/fc1868f56d3036eb,2018-01-14,"St. Louis, Missouri, USA"
UFC 219: Cyborg vs. Holm,http://ufcstats.com/event-details/04076783ca83d6ae,2017-12-30,"Las Vegas, Nevada, USA"
UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/event-details/eaa0a728cc91ef60,2017-12-16,"Winnipeg, Manitoba, Canada"
UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/event-details/bcd124bcd3d5be46,2017-12-09,"Fresno, California, USA"
UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/event-details/9e30f69cc0869301,2017-12-02,"Detroit, Michigan, USA"
The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/event-details/30e8b4505f5ccf92,2017-12-01,"Las Vegas, Nevada, USA"
UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/event-details/e7bc606d269896aa,2017-11-25,"Shanghai, Hebei, China"
UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/event-details/caced97768818230,2017-11-18,"Sydney, New South Wales, Australia"
UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/event-details/d856a0080ac09ed7,2017-11-11,"Norfolk, Virginia, USA"
UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/event-details/a25b71fe5e31fa97,2017-11-04,"New York City, New York, USA"
UFC Fight Night: Brunson vs. Machida,http://ufcstats.com/event-details/a7724f51e32e763e,2017-10-28,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Cerrone vs. Till,http://ufcstats.com/event-details/d6b68eaf4b68b160,2017-10-21,"Gdansk, Poland"
UFC 216: Ferguson vs. Lee,http://ufcstats.com/event-details/cc5834a495d1ea08,2017-10-07,"Las Vegas, Nevada, USA"
UFC Fight Night: Saint Preux vs. Okami,http://ufcstats.com/event-details/9211aae062b799d6,2017-09-22,"Saitama, Saitama, Japan"
UFC Fight Night: Rockhold vs. Branch,http://ufcstats.com/event-details/1979c80150f630c4,2017-09-16,"Pittsburgh, Pennsylvania, USA"
UFC 215: Nunes vs Shevchenko 2,http://ufcstats.com/event-details/d86e913c548c07c2,2017-09-09,"Edmonton, Alberta, Canada"
UFC Fight Night: Volkov vs. Struve,http://ufcstats.com/event-details/a3244e3238541482,2017-09-02,"Rotterdam, Zuid-Holland, Netherlands"
UFC Fight Night: Pettis vs. Moreno,http://ufcstats.com/event-details/f4a031ac205ac580,2017-08-05,"Mexico City, Distrito Federal, Mexico"
UFC 214: Cormier vs. Jones 2,http://ufcstats.com/event-details/ff9578cdbfabd323,2017-07-29,"Anaheim, California, USA"
UFC Fight Night: Weidman vs. Gastelum,http://ufcstats.com/event-details/9f3d6ddef3d3cccc,2017-07-22,"Uniondale, New York, USA"
UFC Fight Night: Nelson vs. Ponzinibbio,http://ufcstats.com/event-details/d7907a9a968e4d29,2017-07-16,"Glasgow, Scotland, United Kingdom"
UFC 213: Romero vs. Whittaker,http://ufcstats.com/event-details/686cccbf1a4de453,2017-07-08,"Las Vegas, Nevada, USA"
The Ultimate Fighter: Redemption Finale,http://ufcstats.com/event-details/23bd78c3f89bdb54,2017-07-07,"Las Vegas, Nevada, USA"
UFC Fight Night: Chiesa vs. Lee,http://ufcstats.com/event-details/99bf06f20491cb54,2017-06-25,"Oklahoma City, Oklahoma, USA"
UFC Fight Night: Holm vs. Correia,http://ufcstats.com/event-details/353de740bb6c7e75,2017-06-17,"Kallang, Singapore"
UFC Fight Night: Lewis vs. Hunt,http://ufcstats.com/event-details/90e7447d8b7f3f35,2017-06-10,"Auckland, New Zealand"
UFC 212: Aldo vs. Holloway,http://ufcstats.com/event-details/1507214bbc7a79e2,2017-06-03,"Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Gustafsson vs. Teixeira,http://ufcstats.com/event-details/1c7cce2f5c17160d,2017-05-28,"Stockholm, Sweden"
UFC 211: Miocic vs. Dos Santos,http://ufcstats.com/event-details/5df10509264586e5,2017-05-13,"Dallas, Texas, USA"
UFC Fight Night: Swanson vs. Lobov,http://ufcstats.com/event-details/bc7f7f0ba3db74d2,2017-04-22,"Nashville, Tennessee, USA"
UFC on FOX: Johnson vs. Reis,http://ufcstats.com/event-details/ed069a95aaaf4f56,2017-04-15,"Kansas City, Missouri, USA"
UFC 210: Cormier vs. Johnson 2,http://ufcstats.com/event-details/e7bfdb5e0112891e,2017-04-08,"Buffalo, New York, USA"
UFC Fight Night: Manuwa vs. Anderson,http://ufcstats.com/event-details/c0231720fe516994,2017-03-18,"London, England, United Kingdom"
UFC Fight Night: Belfort vs. Gastelum,http://ufcstats.com/event-details/47b7e4e60813b7b2,2017-03-11,"Fortaleza, Ceara, Brazil"
UFC 209: Woodley vs. Thompson 2,http://ufcstats.com/event-details/20e403a1acfef130,2017-03-04,"Las Vegas, Nevada, USA"
UFC Fight Night: Lewis vs. Browne,http://ufcstats.com/event-details/b4ad3a06ee4d660c,2017-02-19,"Halifax, Nova Scotia, Canada"
UFC 208: Holm vs. De Randamie,http://ufcstats.com/event-details/865aa315ea62c511,2017-02-11,"Brooklyn, New York, USA"
UFC Fight Night: Bermudez vs. The Korean Zombie,http://ufcstats.com/event-details/6a8a06b542e1516d,2017-02-04,"Houston, Texas, USA"
UFC on FOX: Shevchenko vs. Pena,http://ufcstats.com/event-details/4512e46543b960ad,2017-01-28,"Denver, Colorado, USA"
UFC Fight Night: Rodriguez vs. Penn,http://ufcstats.com/event-details/46effbd1135423c5,2017-01-15,"Phoenix, Arizona, USA"
UFC 207: Nunes vs. Rousey,http://ufcstats.com/event-details/4b2390cfaceb91d8,2016-12-30,"Las Vegas, Nevada, USA"
UFC on FOX: VanZant vs. Waterson,http://ufcstats.com/event-details/32541eb5d12668b4,2016-12-17,"Sacramento, California, USA"
UFC 206: Holloway vs. Pettis,http://ufcstats.com/event-details/6e3282d57d2467a0,2016-12-10,"Toronto, Ontario, Canada"
UFC Fight Night: Lewis vs. Abdurakhimov,http://ufcstats.com/event-details/7139cd2ae4bf6a29,2016-12-09,"Albany, New York, USA"
The Ultimate Fighter: Tournament of Champions Finale,http://ufcstats.com/event-details/bd4389b71fdc0ce2,2016-12-03,"Las Vegas, Nevada, USA"
UFC Fight Night: Whittaker vs. Brunson,http://ufcstats.com/event-details/73e09f837f3b5ecc,2016-11-26,"Melbourne, Victoria, Australia"
UFC Fight Night: Bader vs. Nogueira,http://ufcstats.com/event-details/5cde96e0a1a1fffe,2016-11-19,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Mousasi vs. Hall 2,http://ufcstats.com/event-details/6810d8d2dd557cf9,2016-11-19,"Belfast, Northern Ireland, United Kingdom"
UFC 205: Alvarez vs McGregor,http://ufcstats.com/event-details/4956f60b7fa57c1a,2016-11-12,"New York City, New York, USA"
UFC Fight Night: Dos Anjos vs. Ferguson,http://ufcstats.com/event-details/6083f497c22cc075,2016-11-05,"Mexico City, Distrito Federal, Mexico"
UFC 204: Bisping vs. Henderson,http://ufcstats.com/event-details/154a6b3ffae264cd,2016-10-08,"Manchester, England, United Kingdom"
UFC Fight Night: Lineker vs. Dodson,http://ufcstats.com/event-details/a196332ee4aa8a82,2016-10-01,"Portland, Oregon, USA"
UFC Fight Night: Cyborg vs. Lansberg,http://ufcstats.com/event-details/e18012194473e8b0,2016-09-24,"Brasilia, Distrito Federal, Brazil"
UFC Fight Night: Poirier vs. Johnson,http://ufcstats.com/event-details/d6455cb4bee503ce,2016-09-17,"Hidalgo, Texas, USA"
UFC 203: Miocic vs. Overeem,http://ufcstats.com/event-details/2dc7f1762dc0a7ef,2016-09-10,"Cleveland, Ohio, USA"
UFC Fight Night: Arlovski vs. Barnett,http://ufcstats.com/event-details/2b4faacc16d66898,2016-09-03,"Hamburg, Hamburg, Germany"
UFC on FOX: Maia vs. Condit,http://ufcstats.com/event-details/cfbccfed4e4796fe,2016-08-27,"Vancouver, British Columbia, Canada"
UFC 202: Diaz vs. McGregor 2,http://ufcstats.com/event-details/5da4e8dc02e50ac0,2016-08-20,"Las Vegas, Nevada, USA"
UFC Fight Night: Rodriguez vs. Caceres,http://ufcstats.com/event-details/232c582f29f8f65e,2016-08-06,"Salt Lake City, Utah, USA"
UFC 201: Lawler vs. Woodley,http://ufcstats.com/event-details/72cbe507644a587c,2016-07-30,"Atlanta, Georgia, USA"
UFC on FOX: Holm vs. Shevchenko,http://ufcstats.com/event-details/8a028648f3f0761d,2016-07-23,"Chicago, Illinois, USA"
UFC Fight Night: McDonald vs. Lineker,http://ufcstats.com/event-details/5e7a28f20927d64a,2016-07-13,"Sioux Falls, South Dakota, USA"
UFC 200: Tate vs Nunes,http://ufcstats.com/event-details/aa5b4eff51bdc7d1,2016-07-09,"Las Vegas, Nevada, USA"
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,http://ufcstats.com/event-details/cd42bbe8887bba90,2016-07-08,"Las Vegas, Nevada, USA"
UFC Fight Night: Dos Anjos vs. Alvarez,http://ufcstats.com/event-details/45a2ba3ef82b9700,2016-07-07,"Las Vegas, Nevada, USA"
UFC Fight Night: MacDonald vs Thompson,http://ufcstats.com/event-details/563d051c9e769b24,2016-06-18,"Ottawa, Ontario, Canada"
UFC 199: Rockhold vs. Bisping 2,http://ufcstats.com/event-details/ff4c3ab594c7fac3,2016-06-04,"Los Angeles, California, USA"
UFC Fight Night: Almeida vs Garbrandt,http://ufcstats.com/event-details/990060b2a68a7b82,2016-05-29,"Las Vegas, Nevada, USA"
UFC 198: Werdum vs Miocic,http://ufcstats.com/event-details/a4bf17bd3ba3423b,2016-05-14,"Curitiba, Parana, Brazil"
UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands"
UFC 197: Jones vs Saint Preux,http://ufcstats.com/event-details/3d481aa374c954a1,2016-04-23,"Las Vegas, Nevada, USA"
UFC on FOX: Teixeira vs Evans,http://ufcstats.com/event-details/e7e970d508529bf3,2016-04-16,"Tampa, Florida, USA"
UFC Fight Night: Rothwell vs Dos Santos,http://ufcstats.com/event-details/4887e5bc4dbb73ff,2016-04-10,"Zagreb, Croatia"
UFC Fight Night: Hunt vs Mir,http://ufcstats.com/event-details/e60201cfab7d656d,2016-03-19,"Brisbane, Queensland, Australia"
UFC 196: McGregor vs Diaz,http://ufcstats.com/event-details/db1f2ed63b54b9a7,2016-03-05,"Las Vegas, Nevada, USA"
UFC Fight Night: Silva vs Bisping,http://ufcstats.com/event-details/39c568f8c579913e,2016-02-27,"London, England, United Kingdom"
UFC Fight Night: Cowboy vs Cowboy,http://ufcstats.com/event-details/d56bb6dff2ae77eb,2016-02-21,"Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Hendricks vs Thompson,http://ufcstats.com/event-details/de99da2c0d18d34a,2016-02-06,"Las Vegas, Nevada, USA"
UFC on FOX: Johnson vs. Bader,http://ufcstats.com/event-details/b3fb8d2293e17a59,2016-01-30,"Newark, New Jersey, USA"
UFC Fight Night: Dillashaw vs Cruz,http://ufcstats.com/event-details/c6becb722706c7d8,2016-01-17,"Boston, Massachusetts, USA"
UFC 195: Lawler vs Condit,http://ufcstats.com/event-details/380e8b023290d091,2016-01-02,"Las Vegas, Nevada, USA"
UFC on FOX: Dos Anjos vs. Cowboy 2,http://ufcstats.com/event-details/80d918336163b80c,2015-12-19,"Orlando, Florida, USA"
UFC 194: Aldo vs McGregor,http://ufcstats.com/event-details/354808cf38d9d73c,2015-12-12,"Las Vegas, Nevada, USA"
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,http://ufcstats.com/event-details/20fbff570c678e1c,2015-12-11,"Las Vegas, Nevada, USA"
UFC Fight Night: Namajunas vs. VanZant,http://ufcstats.com/event-details/dd39f1ca787a3d9d,2015-12-10,"Las Vegas, Nevada, USA"
UFC Fight Night: Henderson vs Masvidal,http://ufcstats.com/event-details/4d636c3aa1105950,2015-11-28,"Seoul, South Korea"
UFC Fight Night: Magny vs Gastelum,http://ufcstats.com/event-details/243b07fc65ccbb16,2015-11-21,"Monterrey, Nuevo Leon, Mexico"
UFC 193: Rousey vs Holm,http://ufcstats.com/event-details/8d04923f2db59b7f,2015-11-14,"Melbourne, Victoria, Australia"
UFC Fight Night: Belfort vs Henderson 3,http://ufcstats.com/event-details/5345f86680378fc1,2015-11-07,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Holohan vs Smolka,http://ufcstats.com/event-details/f3155a94ca420126,2015-10-24,"Dublin, Leinster, Ireland"
UFC 192: Cormier vs Gustafsson,http://ufcstats.com/event-details/119ebea97e914dcf,2015-10-03,"Houston, Texas, USA"
UFC Fight Night: Barnett vs Nelson,http://ufcstats.com/event-details/a4dd5c9a75763295,2015-09-26,"Saitama, Japan"
UFC 191: Johnson vs Dodson 2,http://ufcstats.com/event-details/82f5c81f4e3c3eb5,2015-09-05,"Las Vegas, Nevada, USA"
UFC Fight Night: Holloway vs Oliveira,http://ufcstats.com/event-details/2ce6541127b0e232,2015-08-23,"Saskatoon, Saskatchewan, Canada"
UFC Fight Night: Teixeira vs Saint Preux,http://ufcstats.com/event-details/b71667c778b6d9e5,2015-08-08,"Nashville, Tennessee, USA"
UFC 190: Rousey vs Correia,http://ufcstats.com/event-details/a9c45a8b21eabadc,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil"
UFC on FOX: Dillashaw vs. Barao II,http://ufcstats.com/event-details/0c3838c8f7c620c2,2015-07-25,"Chicago, Illinois, USA"
UFC Fight Night: Bisping vs Leites,http://ufcstats.com/event-details/ef7fa30364cbe7f2,2015-07-18,"Glasgow, Scotland, United Kingdom"
UFC Fight Night: Mir vs Duffee,http://ufcstats.com/event-details/36877f0e62b25b96,2015-07-15,"San Diego, California, USA"
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,http://ufcstats.com/event-details/a890f9a791ed615d,2015-07-12,"Las Vegas, Nevada, USA"
UFC 189: Mendes vs McGregor,http://ufcstats.com/event-details/3be081c29bf734d9,2015-07-11,"Las Vegas, Nevada, USA"
UFC Fight Night: Machida vs Romero,http://ufcstats.com/event-details/86e388ed20761ad9,2015-06-27,"Hollywood, Florida, USA"
UFC Fight Night: Jedrzejczyk vs Penne,http://ufcstats.com/event-details/194fc025f9355db6,2015-06-20,"Berlin, Berlin, Germany"
UFC 188: Velasquez vs Werdum,http://ufcstats.com/event-details/a58114c6dd0add64,2015-06-13,"Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Boetsch vs Henderson,http://ufcstats.com/event-details/06dc1a58663579d2,2015-06-06,"New Orleans, Louisiana, USA"
UFC Fight Night: Condit vs Alves,http://ufcstats.com/event-details/aae0897825336b1a,2015-05-30,"Goiania, Goias, Brazil"
UFC 187: Johnson vs Cormier,http://ufcstats.com/event-details/4f7e290e71d60f87,2015-05-23,"Las Vegas, Nevada, USA"
UFC Fight Night: Edgar vs Faber,http://ufcstats.com/event-details/b1605ea39fba6af6,2015-05-16,"Manila, Philippines"
UFC Fight Night: Miocic vs Hunt,http://ufcstats.com/event-details/8a1b4330c7957961,2015-05-09,"Adelaide, South Australia, Australia"
UFC 186: Johnson vs Horiguchi,http://ufcstats.com/event-details/997b4f52f76a0b53,2015-04-25,"Montreal, Quebec, Canada"
